MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,CRS_DEP_TIME,DEP_DELAY_NEW
8,4,UA,LGA,1500,0.0
8,4,UA,LGA,900,11.0
8,4,UA,LGA,630,0.0
8,4,UA,LGA,2100,0.0
8,4,UA,LGA,800,0.0
8,4,YX,LGA,700,0.0
8,5,AA,JFK,900,2.0
8,5,AA,LGA,930,0.0
8,5,AA,LGA,830,0.0
8,5,AA,LGA,1230,13.0
8,5,AA,LGA,1730,0.0
8,5,AA,LGA,1130,27.0
8,5,AA,LGA,730,53.0
8,5,AA,LGA,1430,30.0
8,5,AA,LGA,1030,0.0
8,5,AA,LGA,1630,0.0
8,5,AA,JFK,1600,0.0
8,5,AA,LGA,600,0.0
8,5,AA,LGA,1530,15.0
8,5,AA,LGA,1330,25.0
8,5,AA,LGA,2030,31.0
8,5,OO,HPN,1200,91.0
8,5,OO,HPN,705,0.0
8,5,OO,HPN,1630,60.0
8,5,B6,JFK,1321,21.0
8,5,B6,JFK,807,0.0
8,5,9E,JFK,1459,0.0
8,5,9E,JFK,1155,0.0
8,5,9E,JFK,900,0.0
