"MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","ORIGIN","DEST","CRS_DEP_TIME","DEP_DELAY_NEW"
"10","5","DL","LGA","ORD","735","4.0"
"9","5","DL","LGA","ATL","2129","0.0"
"11","3","AA","LGA","DFW","1705","4.0"
"3","3","DL","LGA","ATL","1225","0.0"
"5","5","AA","JFK","LAX","1130","0.0"
"8","3","AA","LGA","DFW","1400","42.0"
"10","4","B6","JFK","LAX","820","1.0"
"2","3","DL","LGA","ORD","730","0.0"
"7","7","AA","JFK","LAX","1130","0.0"
"5","5","UA","LGA","ORD","2100","0.0"
"4","4","OO","JFK","ORD","1925","0.0"
"5","1","DL","LGA","DFW","1500","0.0"
"4","3","OO","LGA","ORD","1400","0.0"
"8","3","YX","JFK","ORD","1935","145.0"
"9","4","F9","LGA","ATL","2245","0.0"
"12","5","DL","LGA","ATL","600","0.0"
"9","7","B6","JFK","PHX","1755","6.0"
"11","6","AA","JFK","PHX","1320","21.0"
